p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,1.4688642111248327,0.779,0.432,0,0,Mertk
0,1.1699210120537638,0.95,0.689,0,0,Plpp3
0,0.6437940318295525,0.91,0.657,0,0,Slc7a10
0,0.6565175613258435,0.789,0.583,0,0,Cbs
0,0.6912429761202732,0.82,0.621,0,0,Prodh
0,0.8192043289496206,0.833,0.641,0,0,Tubb2b
0,0.7791904872333102,0.649,0.461,0,0,Hmgcr
0,0.4768614028258322,0.892,0.735,0,0,Chst1
0,1.1917545361941084,0.927,0.779,0,0,Msmo1
0,0.7845478186561277,0.905,0.761,0,0,Fdft1
0,0.880587661793283,0.889,0.755,0,0,Vegfa
0,0.6200658342866856,0.92,0.787,0,0,Phgdh
0,0.5208327512281143,0.913,0.796,0,0,Srebf2
0,0.5611534644684764,0.942,0.83,0,0,Ids
0,0.43008457564935876,0.896,0.784,0,0,Vcam1
0,1.3342499130420586,1,0.913,0,0,Htra1
0,0.4005542489695719,0.959,0.883,0,0,Aldh1l1
0,0.8937549868412971,0.992,0.924,0,0,Scg3
0,0.5455609280499771,0.973,0.907,0,0,Gstm1
0,0.3677535911693335,0.994,0.955,0,0,Acsl6
0,0.710550864745779,1,0.961,0,0,Gja1
0,0.5191847085216663,0.999,0.968,0,0,Pla2g7
0,0.8800577247128056,1,0.983,0,0,Glul
0,0.312240407495759,0.996,0.984,0,0,Arhgap5
0,0.2553957482360465,0.999,0.992,0,0,Glud1
0,0.52846101721578,1,0.998,0,0,Cst3
0,0.5834147672495202,1,0.999,0,0,Aldoc
0,0.47902757234679516,1,1,0,0,Clu
4.9538155556160484e-284,0.8833797311069183,0.36,0.204,1.951803328912723e-281,0,Cox10
1.8151072642290742e-274,0.3638550129193008,0.949,0.906,7.151522621062553e-272,0,Sat1
2.262836632221846e-249,1.0065832304357136,0.262,0.134,8.915576330954073e-247,0,Ldlr
2.209546158289463e-236,0.20090876185510576,0.999,0.992,8.705611863660484e-234,0,Pygb
6.95854849297927e-236,0.24613907292192838,0.991,0.974,2.7416681062338325e-233,0,Cs
4.503291044339727e-225,0.5536489333903621,0.611,0.465,1.7742966714698525e-222,0,Hmgcs1
7.605122664917653e-203,0.4592202383973882,0.654,0.51,2.996418329977555e-200,0,Soat1
1.4963993951845045e-197,0.20325582881351334,1,0.999,5.8958136170269476e-195,0,Cpe
2.5861109930937486e-191,0.49148638189331284,0.574,0.429,1.018927731278937e-188,0,Abhd17a
1.6621442559115999e-178,0.28010856007509943,0.905,0.841,6.548848368291704e-176,0,Lap3
3.794142309014859e-178,0.22253764235074236,0.969,0.905,1.4948920697518544e-175,0,Srebf1
7.219327043827348e-163,0.3008061563514952,0.867,0.803,2.8444148552679753e-160,0,Idh1
1.6242377213373974e-162,0.27607929793090924,0.883,0.809,6.399496622069345e-160,0,Fasn
3.1289892110137327e-156,0.4010806441571577,0.655,0.534,1.2328217491394106e-153,0,Pmm1
2.529558660821787e-147,0.5050885239659628,0.456,0.331,9.966461123637841e-145,0,Ophn1
9.251984864204774e-145,0.531704709187789,0.397,0.275,3.645282036496681e-142,0,Pnp
3.1716440562948844e-143,0.44484058017708394,0.6,0.481,1.2496277581801843e-140,0,Acss2
2.925975742825288e-142,0.42918293851695577,0.554,0.429,1.1528344426731634e-139,0,Sc5d
6.975037650356217e-140,0.16337474593044465,0.997,0.992,2.7481648342403494e-137,0,Prdx1
2.1701137297750135e-138,0.6103719793906159,0.312,0.203,8.550248095313553e-136,0,Ppara
2.2092273427438502e-129,0.5811464004019944,0.315,0.208,8.70435573041077e-127,0,Chsy1
9.593933134383446e-128,0.4673492246276466,0.43,0.311,3.780009654947078e-125,0,rs7412-WT-226
1.6596317850622844e-112,0.13046407435506202,0.959,0.911,6.5389492331454e-110,0,Timp3
3.1250538326298283e-111,0.33898547299446713,0.637,0.53,1.2312712100561524e-108,0,Pfkp
1.385328247171688e-96,0.13470068322945705,0.978,0.96,5.458193293856451e-94,0,Cox4i1
2.539836497414198e-93,0.24133948748378864,0.774,0.703,1.000695579981194e-90,0,Bhlhe40
3.623077375796548e-91,0.17845696826358148,0.96,0.942,1.4274924860638397e-88,0,Fabp5
1.842092010979903e-85,0.17419053137785268,0.867,0.802,7.257842523260818e-83,0,Hacd2
2.1736023407706246e-85,0.6798097415153213,0.178,0.111,8.563993222636261e-83,0,Plin3
4.187708551668416e-83,0.2279019734433936,0.637,0.527,1.6499571693573559e-80,0,Folh1
2.8116011750214744e-81,0.2769956486407342,0.608,0.511,1.1077708629584608e-78,0,Apoe
9.748277907686571e-80,0.2533134049766682,0.751,0.687,3.8408214956285086e-77,0,P4ha1
6.488347506918062e-73,0.2815405161287935,0.429,0.334,2.5564089177257164e-70,0,Maob
2.1688983799909576e-72,0.24196396380157226,0.699,0.619,8.545459617164373e-70,0,Fut8
1.1966279562585245e-69,0.1947599128577916,0.84,0.792,4.714714147658587e-67,0,Smpd1
7.715110321809281e-68,0.2355487986077108,0.652,0.568,3.039753466792857e-65,0,Idh2
2.447104630332126e-65,0.5644742834387024,0.189,0.128,9.641592243508576e-63,0,Aldh3b1
1.1983221295127842e-58,0.24716276526299294,0.573,0.492,4.72138919028037e-56,0,Gpt2
3.171114455371125e-56,0.33762154242965337,0.281,0.211,1.2494190954162232e-53,0,Hmgb2
4.39779667803019e-56,0.21421770301763232,0.57,0.48,1.732731891143895e-53,0,Fut9
5.1639814041331965e-55,0.21413638919018432,0.599,0.514,2.0346086732284795e-52,0,rs7412-ALT-226:T
2.3497722178106613e-47,0.5089957795272766,0.158,0.11,9.258102538174005e-45,0,Eci1
3.1706650810002953e-46,0.27947062703129544,0.364,0.293,1.2492420419141163e-43,0,St3gal2
1.0995223114694424e-39,0.6189509549246806,0.097,0.063,4.332117907189603e-37,0,Csgalnact1
1.8571918302356127e-36,0.14508053654277775,0.802,0.767,7.317335811128314e-34,0,Aldh7a1
3.589472673164307e-35,0.12956654254681832,0.778,0.734,1.414252233226737e-32,0,Lgals3bp
3.718893454585939e-33,0.17415079846228798,0.4,0.334,1.46524402110686e-30,0,Hs2st1
2.1190096550554706e-29,0.1737459421974129,0.481,0.419,8.348898040918554e-27,0,Hsd17b12
5.0019662160955705e-26,0.21726064578948168,0.244,0.197,1.9707746891416547e-23,0,St6galnac4
3.176875884847123e-22,0.17976476332823887,0.334,0.285,1.2516890986297664e-19,0,Gsr
3.868551879217387e-21,0.10867756274424212,0.521,0.461,1.5242094404116504e-18,0,Degs1
5.099894664363888e-21,0.13844080365912093,0.389,0.336,2.0093584977593717e-18,0,Pank3
1.7434904494933684e-19,0.4454025895702878,0.091,0.067,6.869352371003872e-17,0,Hkdc1
3.1088018648402712e-18,0.15505431383190627,0.303,0.259,1.2248679347470668e-15,0,Hibadh
7.966286018333264e-18,0.1125766725016501,0.536,0.485,3.138716691223306e-15,0,Aldh9a1
7.566213165929645e-17,0.4134142593539294,0.087,0.065,2.9810879873762806e-14,0,rs429358-WT-228
9.54576987447546e-14,0.14172933312046943,0.235,0.202,3.761033330543331e-11,0,Ganc
1.928646194877195e-13,0.22357393404936676,0.167,0.14,7.598866007816149e-11,0,Acaa1a
4.803931083172797e-11,0.10960328761815075,0.275,0.242,1.892748846770082e-8,0,Bckdha
1.318754724150679e-9,0.1641270049717316,0.156,0.134,5.195893613153675e-7,0,Jun
3.330737990813839e-8,0.27786185291403465,0.074,0.06,1.3123107683806524e-5,0,rs429358-ALT-228:C
4.607878940859956e-8,0.47118864055903575,0.025,0.017,1.8155043026988227e-5,0,Fosb
1.813577444965517e-6,0.3849945042472829,0.035,0.027,7.145495133164137e-4,0,Plpp4
7.88718669793026e-6,0.1415646307246181,0.152,0.136,0.003107551558984523,0,Dgat1
