p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,1.3347055877301988,0.776,0.465,0,0,Mertk
0,0.5510777579254122,0.919,0.69,0,0,Slc7a10
0,1.070567080125347,0.949,0.727,0,0,Plpp3
0,0.9119247354057693,0.845,0.63,0,0,Tubb2b
0,0.8841825006048041,0.656,0.443,0,0,Hmgcr
0,0.6865301583318076,0.901,0.718,0,0,Chst1
0,0.5596014788750174,0.789,0.612,0,0,Cbs
0,0.8414144191330306,0.91,0.754,0,0,Fdft1
0,0.546087394066869,0.812,0.662,0,0,Prodh
0,1.1255822468093388,0.933,0.787,0,0,Msmo1
0,0.7954572443995824,0.949,0.819,0,0,Ids
0,0.7819744057330693,0.89,0.763,0,0,Vegfa
0,0.5594471438847973,0.914,0.795,0,0,Srebf2
0,0.5578207528393895,0.922,0.814,0,0,Phgdh
0,1.237323908749679,1,0.939,0,0,Htra1
0,0.8482644161572002,0.991,0.932,0,0,Scg3
0,0.5042384044439427,0.974,0.92,0,0,Gstm1
0,0.30439961977395313,0.994,0.96,0,0,Acsl6
0,0.33690114536922566,0.993,0.973,0,0,Cs
0,0.6040885882693883,1,0.98,0,0,Gja1
0,0.42947685566578553,0.999,0.98,0,0,Pla2g7
0,0.8415777124448978,1,0.985,0,0,Glul
0,0.3033384221627049,0.996,0.985,0,0,Arhgap5
0,0.5517848146205742,1,0.999,0,0,Aldoc
0,0.4105619384481356,1,0.999,0,0,Cst3
0,0.36827156117574145,1,1,0,0,Clu
7.509199459061472e-307,0.2508061241152757,0.999,0.993,2.830968196066175e-304,0,Glud1
3.128364599421e-296,0.6353770409712658,0.624,0.451,1.179393453981717e-293,0,Hmgcs1
9.369147920855239e-273,0.6384258321716617,0.586,0.415,3.532168766162425e-270,0,Abhd17a
3.5808378970126336e-262,0.880602435737804,0.356,0.202,1.349975887173763e-259,0,Cox10
2.7569267264240097e-245,0.4567043855334306,0.768,0.637,1.0393613758618518e-242,0,Mt3
4.223243558064654e-233,0.22586795998662978,1,0.999,1.5921628213903747e-230,0,Cpe
1.1796024360249315e-227,0.5124613845226089,0.664,0.519,4.447101183813992e-225,0,Pmm1
2.6774691031052993e-216,0.2472326547903101,0.979,0.956,1.0094058518706978e-213,0,Cox4i1
